LIEU;CODE POSTAL;REV MÉDIAN INDIV 2005;REV MÉDIAN INDIV 2015;CHG;REV MÉDIAN MÉNAGES 2005;REV MÉDIAN MÉNAGES 2015;CHG;REV MÉDIAN FAM 2005;REV MÉDIAN FAM 2015;CHG
L'Île-Bizard;H9E;29519;36821;0,25;63992;80794;0,26;80942;99243;0,23
L'Île-Dorval;H9S;30135;37945;0,26;57301;67785;0,18;77519;97061;0,25
La Baie;G7B;23725;33029;0,39;48074;58613;0,22;60308;75723;0,26
La Malbaie;G5A;20895;29687;0,42;45298;54080;0,19;54937;72730;0,32
La Plaine;J7M;26996;34794;0,29;58154;73524;0,26;62501;82031;0,31
La Prairie;J5R;35023;44715;0,28;71113;89731;0,26;84111;110909;0,32
La Sarre;J9Z;22210;31264;0,41;40914;52267;0,28;54412;79872;0,47
La Tuque;G9X;23385;31022;0,33;42441;51358;0,21;54471;69911;0,28
LaSalle;H8N;23505;27275;0,16;44314;53169;0,2;53795;65955;0,23
LaSalle;H8P;26479;31879;0,2;42682;53650;0,26;60445;73811;0,22
Lac-Beauport;G3B;-;54028;-;-;116401;-;-;130976;-
Lac-Mégantic;G6B;22243;30726;0,38;39507;51328;0,3;54916;72555;0,32
Lac-Saint-Charles;G3G;25946;39118;0,51;55721;78218;0,4;61530;87552;0,42
Lachine;H8S;22750;28653;0,26;38015;47413;0,25;49903;64179;0,29
Lachine;H8T;31104;39530;0,27;54860;68909;0,26;74836;99226;0,33
Lachute;J8H;20752;25964;0,25;37685;45613;0,21;51705;63787;0,23
Lanaudière-Nord;J0K;20896;28348;0,36;40391;52620;0,3;49320;66369;0,35
Laterrière;G7N;26920;40674;0,51;56597;80410;0,42;63356;92843;0,47
Laurentides-Nord;J0T;21986;28920;0,32;41298;51032;0,24;49460;65408;0,32
Laurentides-Sud;J0R;29784;36758;0,23;57306;69254;0,21;69667;87325;0,25
Laurentides-Sud;J0V;20973;27937;0,33;40230;51259;0,27;49034;65916;0,34
Laval-des-Rapides;H7N;25416;29489;0,16;41680;52039;0,25;55597;68677;0,24
Laval-sur-le-Lac;H7R;29147;35958;0,23;60932;79117;0,3;69343;90581;0,31
Lavaltrie;J5T;25253;34106;0,35;54937;68454;0,25;60008;79328;0,32
Le Fjord;G0T;21418;28427;0,33;45208;54647;0,21;53652;69963;0,3
Lebourgneuf-Est;G2J;33383;39493;0,18;50592;55403;0,1;70757;79653;0,13
Lebourgneuf-Ouest;G2K;33668;44536;0,32;62279;74975;0,2;73715;94080;0,28
Les Îles-de-la-Madeleine;G4T;21619;31630;0,46;47914;61243;0,28;54360;77263;0,42
Limoilou-Est;G1J;18658;26590;0,43;29502;39210;0,33;40641;58901;0,45
Limoilou-ouest;G1L;19858;27561;0,39;30657;39750;0,3;44456;59640;0,34
Longueuil;J4G;31938;39717;0,24;59400;67635;0,14;73964;92745;0,25
Longueuil;J4H;27917;34190;0,22;40085;51363;0,28;61976;78108;0,26
